Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
24,22,0.3,19,297.32
24,22,0.3,19,263.06
24,22,0.3,19,272.02
24,22,0.3,19,178.87
24,22,0.3,19,220.91
24,22,0.3,19,331.03
24,22,0.3,19,172.04
24,22,0.3,19,178.88
24,22,0.3,19,272.03
24,22,0.3,19,367.69
24,22,0.3,19,259.99
24,22,0.3,19,259.99
24,22,0.3,19,268.33
24,22,0.3,19,444.07
24,22,0.3,19,277.85
24,22,0.3,19,313.04
24,22,0.3,19,241.65
24,22,0.3,19,223.61
24,22,0.3,19,260.75
24,22,0.3,19,189.73
24,22,0.3,19,272.00
24,22,0.3,19,228.03
24,22,0.3,19,226.26
24,22,0.3,19,205.91
24,22,0.3,19,239.97
24,22,0.3,19,280.71
24,22,0.3,19,331.03
24,22,0.3,19,349.25
24,22,0.3,19,240.81
24,22,0.3,19,216.32
24,22,0.3,19,181.10
24,22,0.3,19,286.34
24,22,0.3,19,278.56
24,22,0.3,19,216.32
24,22,0.3,19,244.13
24,22,0.3,19,272.02
24,22,0.3,19,196.96
24,22,0.3,19,272.00
24,22,0.3,19,252.98
24,22,0.3,19,223.61
24,22,0.3,19,254.55
24,22,0.3,19,188.67
24,22,0.3,19,263.03
24,22,0.3,19,300.00
24,22,0.3,19,266.81
24,22,0.3,19,220.88
24,22,0.3,19,268.33
24,22,0.3,19,297.32
24,22,0.3,19,240.81
24,22,0.3,19,144.21
24,22,0.3,19,392.91
24,22,0.3,19,205.91
24,22,0.3,19,234.07
24,22,0.3,19,339.96
24,22,0.3,19,280.00
24,22,0.3,19,228.03
24,22,0.3,19,291.19
24,22,0.3,19,216.33
24,22,0.3,19,342.35
24,22,0.3,19,247.39
24,22,0.3,19,380.49
24,22,0.3,19,263.06
24,22,0.3,19,260.75
24,22,0.3,19,240.81
24,22,0.3,19,259.99
24,22,0.3,19,170.87
24,22,0.3,19,240.81
24,22,0.3,19,340.57
24,22,0.3,19,259.98
24,22,0.3,19,205.91
24,22,0.3,19,228.03
24,22,0.3,19,240.81
24,22,0.3,19,325.57
24,22,0.3,19,288.43
24,22,0.3,19,263.03
24,22,0.3,19,256.11
24,22,0.3,19,223.60
24,22,0.3,19,299.98
24,22,0.3,19,260.75
24,22,0.3,19,272.02
24,22,0.3,19,384.17
24,22,0.3,19,228.02
24,22,0.3,19,304.63
24,22,0.3,19,305.28
24,22,0.3,19,241.66
24,22,0.3,19,325.57
24,22,0.3,19,340.57
24,22,0.3,19,272.02
24,22,0.3,19,282.83
24,22,0.3,19,305.28
24,22,0.3,19,399.99
24,22,0.3,19,440.46
24,22,0.3,19,300.64
24,22,0.3,19,313.04
24,22,0.3,19,319.97
24,22,0.3,19,420.48
24,22,0.3,19,322.46
24,22,0.3,19,393.93
24,22,0.3,19,299.98
24,22,0.3,19,430.78
24,22,0.3,19,291.19
