Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
25,21,0.4,21,210.35
25,21,0.4,21,290.84
25,21,0.4,21,240.65
25,21,0.4,21,255.08
25,21,0.4,21,171.13
25,21,0.4,21,199.24
25,21,0.4,21,262.63
25,21,0.4,21,231.01
25,21,0.4,21,205.67
25,21,0.4,21,256.37
25,21,0.4,21,260.16
25,21,0.4,21,178.58
25,21,0.4,21,255.10
25,21,0.4,21,252.52
25,21,0.4,21,307.19
25,21,0.4,21,311.36
25,21,0.4,21,194.28
25,21,0.4,21,194.28
25,21,0.4,21,219.44
25,21,0.4,21,217.96
25,21,0.4,21,251.24
25,21,0.4,21,285.17
25,21,0.4,21,161.33
25,21,0.4,21,433.68
25,21,0.4,21,262.63
25,21,0.4,21,285.21
25,21,0.4,21,451.30
25,21,0.4,21,365.24
25,21,0.4,21,371.40
25,21,0.4,21,217.96
25,21,0.4,21,231.01
25,21,0.4,21,256.37
25,21,0.4,21,358.01
25,21,0.4,21,306.12
25,21,0.4,21,346.96
25,21,0.4,21,310.35
25,21,0.4,21,285.19
25,21,0.4,21,371.43
25,21,0.4,21,398.46
25,21,0.4,21,240.65
25,21,0.4,21,470.34
25,21,0.4,21,231.01
25,21,0.4,21,319.63
25,21,0.4,21,235.19
25,21,0.4,21,379.23
25,21,0.4,21,260.16
25,21,0.4,21,307.17
25,21,0.4,21,307.16
25,21,0.4,21,228.14
25,21,0.4,21,285.21
25,21,0.4,21,290.84
25,21,0.4,21,256.37
25,21,0.4,21,280.57
25,21,0.4,21,354.39
25,21,0.4,21,194.28
25,21,0.4,21,285.17
25,21,0.4,21,199.22
25,21,0.4,21,468.29
25,21,0.4,21,285.17
25,21,0.4,21,274.75
25,21,0.4,21,216.45
25,21,0.4,21,362.54
25,21,0.4,21,307.19
25,21,0.4,21,315.54
25,21,0.4,21,354.38
25,21,0.4,21,332.60
25,21,0.4,21,308.24
25,21,0.4,21,388.53
25,21,0.4,21,389.39
25,21,0.4,21,255.10
25,21,0.4,21,275.92
25,21,0.4,21,310.35
25,21,0.4,21,340.34
25,21,0.4,21,342.24
25,21,0.4,21,307.17
25,21,0.4,21,297.48
25,21,0.4,21,271.17
25,21,0.4,21,240.64
25,21,0.4,21,360.74
25,21,0.4,21,346.98
25,21,0.4,21,412.12
25,21,0.4,21,354.38
25,21,0.4,21,271.15
25,21,0.4,21,275.92
25,21,0.4,21,308.24
25,21,0.4,21,331.63
25,21,0.4,21,342.24
25,21,0.4,21,340.34
25,21,0.4,21,367.90
25,21,0.4,21,310.35
25,21,0.4,21,322.65
25,21,0.4,21,432.90
25,21,0.4,21,229.57
25,21,0.4,21,379.21
25,21,0.4,21,275.92
25,21,0.4,21,262.63
25,21,0.4,21,577.19
25,21,0.4,21,298.58
25,21,0.4,21,240.65
25,21,0.4,21,523.40
