Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
25,21,0.4,20,230.14
25,21,0.4,20,256.20
25,21,0.4,20,248.12
25,21,0.4,20,258.84
25,21,0.4,20,226.17
25,21,0.4,20,272.47
25,21,0.4,20,276.59
25,21,0.4,20,212.76
25,21,0.4,20,343.07
25,21,0.4,20,259.69
25,21,0.4,20,277.41
25,21,0.4,20,276.59
25,21,0.4,20,304.63
25,21,0.4,20,343.70
25,21,0.4,20,285.45
25,21,0.4,20,256.20
25,21,0.4,20,466.62
25,21,0.4,20,190.30
25,21,0.4,20,364.20
25,21,0.4,20,237.88
25,21,0.4,20,413.11
25,21,0.4,20,668.03
25,21,0.4,20,259.71
25,21,0.4,20,257.09
25,21,0.4,20,201.84
25,21,0.4,20,249.03
25,21,0.4,20,346.34
25,21,0.4,20,332.33
25,21,0.4,20,406.47
25,21,0.4,20,304.63
25,21,0.4,20,272.47
25,21,0.4,20,362.31
25,21,0.4,20,226.16
25,21,0.4,20,341.06
25,21,0.4,20,314.12
25,21,0.4,20,332.33
25,21,0.4,20,408.70
25,21,0.4,20,352.19
25,21,0.4,20,366.04
25,21,0.4,20,249.03
25,21,0.4,20,354.10
25,21,0.4,20,363.57
25,21,0.4,20,372.18
25,21,0.4,20,219.05
25,21,0.4,20,300.89
25,21,0.4,20,354.09
25,21,0.4,20,302.39
25,21,0.4,20,289.38
25,21,0.4,20,209.55
25,21,0.4,20,237.87
25,21,0.4,20,302.38
25,21,0.4,20,209.53
25,21,0.4,20,229.16
25,21,0.4,20,257.09
25,21,0.4,20,276.58
25,21,0.4,20,336.41
25,21,0.4,20,230.14
25,21,0.4,20,382.98
25,21,0.4,20,279.85
25,21,0.4,20,356.66
25,21,0.4,20,438.61
25,21,0.4,20,388.26
25,21,0.4,20,200.72
25,21,0.4,20,142.73
25,21,0.4,20,226.17
25,21,0.4,20,286.23
25,21,0.4,20,190.30
25,21,0.4,20,330.97
25,21,0.4,20,521.60
25,21,0.4,20,332.33
25,21,0.4,20,212.76
25,21,0.4,20,249.03
25,21,0.4,20,272.47
25,21,0.4,20,316.29
25,21,0.4,20,270.80
25,21,0.4,20,319.15
25,21,0.4,20,270.80
25,21,0.4,20,289.38
25,21,0.4,20,272.47
25,21,0.4,20,276.59
25,21,0.4,20,319.86
25,21,0.4,20,171.53
25,21,0.4,20,183.02
25,21,0.4,20,468.54
25,21,0.4,20,321.98
25,21,0.4,20,309.79
25,21,0.4,20,348.94
25,21,0.4,20,332.33
25,21,0.4,20,257.09
25,21,0.4,20,219.03
25,21,0.4,20,295.58
25,21,0.4,20,277.41
25,21,0.4,20,505.74
25,21,0.4,20,376.41
25,21,0.4,20,319.13
25,21,0.4,20,242.59
25,21,0.4,20,321.98
25,21,0.4,20,356.66
25,21,0.4,20,272.45
25,21,0.4,20,259.71
