Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
22,22,0.3,19,488.30
22,22,0.3,19,196.76
22,22,0.3,19,264.18
22,22,0.3,19,264.43
22,22,0.3,19,161.21
22,22,0.3,19,166.92
22,22,0.3,19,150.90
22,22,0.3,19,222.63
22,22,0.3,19,403.76
22,22,0.3,19,234.07
22,22,0.3,19,353.34
22,22,0.3,19,309.50
22,22,0.3,19,296.92
22,22,0.3,19,247.05
22,22,0.3,19,215.53
22,22,0.3,19,218.27
22,22,0.3,19,297.49
22,22,0.3,19,259.43
22,22,0.3,19,221.36
22,22,0.3,19,297.49
22,22,0.3,19,268.12
22,22,0.3,19,437.70
22,22,0.3,19,426.51
22,22,0.3,19,280.47
22,22,0.3,19,193.57
22,22,0.3,19,193.57
22,22,0.3,19,210.36
22,22,0.3,19,151.85
22,22,0.3,19,251.47
22,22,0.3,19,273.74
22,22,0.3,19,268.43
22,22,0.3,19,331.97
22,22,0.3,19,326.56
22,22,0.3,19,251.47
22,22,0.3,19,135.94
22,22,0.3,19,152.40
22,22,0.3,19,273.74
22,22,0.3,19,317.08
22,22,0.3,19,292.61
22,22,0.3,19,345.97
22,22,0.3,19,222.50
22,22,0.3,19,432.83
22,22,0.3,19,332.73
22,22,0.3,19,366.90
22,22,0.3,19,279.56
22,22,0.3,19,198.32
22,22,0.3,19,396.01
22,22,0.3,19,216.71
22,22,0.3,19,145.58
22,22,0.3,19,221.36
22,22,0.3,19,308.67
22,22,0.3,19,285.56
22,22,0.3,19,309.51
22,22,0.3,19,234.74
22,22,0.3,19,181.36
22,22,0.3,19,244.64
22,22,0.3,19,192.25
22,22,0.3,19,214.75
22,22,0.3,19,202.14
22,22,0.3,19,230.73
22,22,0.3,19,247.05
22,22,0.3,19,198.33
22,22,0.3,19,284.38
22,22,0.3,19,321.59
22,22,0.3,19,205.88
22,22,0.3,19,288.23
22,22,0.3,19,203.81
22,22,0.3,19,285.86
22,22,0.3,19,296.92
22,22,0.3,19,232.92
22,22,0.3,19,256.81
22,22,0.3,19,297.20
22,22,0.3,19,245.67
22,22,0.3,19,342.53
22,22,0.3,19,260.74
22,22,0.3,19,209.95
22,22,0.3,19,394.09
22,22,0.3,19,339.54
22,22,0.3,19,462.38
22,22,0.3,19,456.47
22,22,0.3,19,278.36
22,22,0.3,19,365.51
22,22,0.3,19,299.76
22,22,0.3,19,357.54
22,22,0.3,19,320.27
22,22,0.3,19,189.58
22,22,0.3,19,148.46
22,22,0.3,19,291.15
22,22,0.3,19,148.46
22,22,0.3,19,239.38
22,22,0.3,19,256.48
22,22,0.3,19,331.96
22,22,0.3,19,350.60
22,22,0.3,19,292.61
22,22,0.3,19,222.50
22,22,0.3,19,256.48
22,22,0.3,19,273.74
22,22,0.3,19,279.56
22,22,0.3,19,355.40
22,22,0.3,19,245.67
