Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
22,21,0.6,17,200.21
22,21,0.6,17,119.80
22,21,0.6,17,181.02
22,21,0.6,17,187.63
22,21,0.6,17,151.28
22,21,0.6,17,197.83
22,21,0.6,17,119.81
22,21,0.6,17,213.93
22,21,0.6,17,181.77
22,21,0.6,17,255.21
22,21,0.6,17,132.68
22,21,0.6,17,190.86
22,21,0.6,17,200.21
22,21,0.6,17,235.63
22,21,0.6,17,125.33
22,21,0.6,17,156.13
22,21,0.6,17,156.13
22,21,0.6,17,207.18
22,21,0.6,17,209.79
22,21,0.6,17,309.86
22,21,0.6,17,281.70
22,21,0.6,17,329.34
22,21,0.6,17,312.25
22,21,0.6,17,267.90
22,21,0.6,17,125.86
22,21,0.6,17,189.43
22,21,0.6,17,329.54
22,21,0.6,17,232.73
22,21,0.6,17,375.64
22,21,0.6,17,305.45
22,21,0.6,17,306.12
22,21,0.6,17,291.16
22,21,0.6,17,250.67
22,21,0.6,17,281.21
22,21,0.6,17,203.56
22,21,0.6,17,281.45
22,21,0.6,17,265.87
22,21,0.6,17,281.21
22,21,0.6,17,208.17
22,21,0.6,17,213.94
22,21,0.6,17,189.43
22,21,0.6,17,231.86
22,21,0.6,17,277.58
22,21,0.6,17,307.22
22,21,0.6,17,261.50
22,21,0.6,17,234.19
22,21,0.6,17,265.61
22,21,0.6,17,309.85
22,21,0.6,17,354.49
22,21,0.6,17,536.42
22,21,0.6,17,307.44
22,21,0.6,17,393.76
22,21,0.6,17,327.70
22,21,0.6,17,280.25
22,21,0.6,17,299.18
22,21,0.6,17,320.17
22,21,0.6,17,283.14
22,21,0.6,17,315.06
22,21,0.6,17,267.91
22,21,0.6,17,291.86
22,21,0.6,17,361.49
22,21,0.6,17,390.31
22,21,0.6,17,314.20
22,21,0.6,17,395.83
22,21,0.6,17,302.56
22,21,0.6,17,374.01
22,21,0.6,17,219.55
22,21,0.6,17,222.32
22,21,0.6,17,100.10
22,21,0.6,17,107.28
22,21,0.6,17,131.65
22,21,0.6,17,190.86
22,21,0.6,17,216.45
22,21,0.6,17,205.87
22,21,0.6,17,258.38
22,21,0.6,17,223.53
22,21,0.6,17,249.04
22,21,0.6,17,181.77
22,21,0.6,17,246.85
22,21,0.6,17,222.31
22,21,0.6,17,377.60
22,21,0.6,17,205.87
22,21,0.6,17,151.72
22,21,0.6,17,232.73
22,21,0.6,17,255.47
22,21,0.6,17,156.13
22,21,0.6,17,140.13
22,21,0.6,17,214.57
22,21,0.6,17,172.99
22,21,0.6,17,200.21
22,21,0.6,17,219.56
22,21,0.6,17,238.76
22,21,0.6,17,131.65
22,21,0.6,17,281.70
22,21,0.6,17,239.89
22,21,0.6,17,246.85
22,21,0.6,17,200.20
22,21,0.6,17,190.85
22,21,0.6,17,203.56
22,21,0.6,17,216.45
