Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,22,0.4,17,321.50
23,22,0.4,17,540.67
23,22,0.4,17,347.11
23,22,0.4,17,257.33
23,22,0.4,17,354.47
23,22,0.4,17,337.67
23,22,0.4,17,289.79
23,22,0.4,17,148.21
23,22,0.4,17,427.20
23,22,0.4,17,265.36
23,22,0.4,17,216.42
23,22,0.4,17,337.67
23,22,0.4,17,522.44
23,22,0.4,17,545.73
23,22,0.4,17,324.00
23,22,0.4,17,290.35
23,22,0.4,17,281.31
23,22,0.4,17,193.57
23,22,0.4,17,347.11
23,22,0.4,17,579.59
23,22,0.4,17,410.62
23,22,0.4,17,380.83
23,22,0.4,17,257.33
23,22,0.4,17,426.06
23,22,0.4,17,394.17
23,22,0.4,17,330.41
23,22,0.4,17,200.93
23,22,0.4,17,193.57
23,22,0.4,17,170.50
23,22,0.4,17,335.75
23,22,0.4,17,479.57
23,22,0.4,17,710.99
23,22,0.4,17,301.28
23,22,0.4,17,244.45
23,22,0.4,17,193.57
23,22,0.4,17,534.36
23,22,0.4,17,392.53
23,22,0.4,17,255.44
23,22,0.4,17,418.03
23,22,0.4,17,234.33
23,22,0.4,17,261.68
23,22,0.4,17,227.34
23,22,0.4,17,467.28
23,22,0.4,17,427.20
23,22,0.4,17,290.35
23,22,0.4,17,470.39
23,22,0.4,17,790.18
23,22,0.4,17,399.06
23,22,0.4,17,703.01
23,22,0.4,17,409.83
23,22,0.4,17,290.35
23,22,0.4,17,490.55
23,22,0.4,17,361.68
23,22,0.4,17,233.65
23,22,0.4,17,575.41
23,22,0.4,17,363.48
23,22,0.4,17,249.68
23,22,0.4,17,217.16
23,22,0.4,17,297.50
23,22,0.4,17,314.39
23,22,0.4,17,120.56
23,22,0.4,17,305.53
23,22,0.4,17,193.57
23,22,0.4,17,373.98
23,22,0.4,17,76.25
23,22,0.4,17,514.65
23,22,0.4,17,370.51
23,22,0.4,17,370.51
23,22,0.4,17,324.00
23,22,0.4,17,401.88
23,22,0.4,17,467.28
23,22,0.4,17,506.42
23,22,0.4,17,375.28
23,22,0.4,17,532.24
23,22,0.4,17,259.19
23,22,0.4,17,297.50
23,22,0.4,17,241.78
23,22,0.4,17,414.93
23,22,0.4,17,427.21
23,22,0.4,17,558.31
23,22,0.4,17,490.55
23,22,0.4,17,392.53
23,22,0.4,17,528.89
23,22,0.4,17,267.18
23,22,0.4,17,450.76
23,22,0.4,17,467.28
23,22,0.4,17,254.17
23,22,0.4,17,423.03
23,22,0.4,17,630.07
23,22,0.4,17,307.12
23,22,0.4,17,233.65
23,22,0.4,17,250.33
23,22,0.4,17,233.65
23,22,0.4,17,244.45
23,22,0.4,17,257.33
23,22,0.4,17,234.34
23,22,0.4,17,462.08
23,22,0.4,17,437.29
23,22,0.4,17,497.10
23,22,0.4,17,289.80
23,22,0.4,17,343.36
