Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
24,20,0.6,19,308.00
24,20,0.6,19,72.09
24,20,0.6,19,198.26
24,20,0.6,19,235.00
24,20,0.6,19,205.51
24,20,0.6,19,220.00
24,20,0.6,19,245.14
24,20,0.6,19,217.03
24,20,0.6,19,144.20
24,20,0.6,19,201.52
24,20,0.6,19,340.07
24,20,0.6,19,272.75
24,20,0.6,19,335.27
24,20,0.6,19,203.91
24,20,0.6,19,166.18
24,20,0.6,19,217.77
24,20,0.6,19,241.81
24,20,0.6,19,127.46
24,20,0.6,19,154.00
24,20,0.6,19,120.92
24,20,0.6,19,161.20
24,20,0.6,19,234.32
24,20,0.6,19,297.25
24,20,0.6,19,275.12
24,20,0.6,19,170.03
24,20,0.6,19,144.19
24,20,0.6,19,318.88
24,20,0.6,19,170.03
24,20,0.6,19,148.64
24,20,0.6,19,234.31
24,20,0.6,19,144.19
24,20,0.6,19,161.20
24,20,0.6,19,267.95
24,20,0.6,19,225.85
24,20,0.6,19,148.64
24,20,0.6,19,191.60
24,20,0.6,19,245.14
24,20,0.6,19,344.34
24,20,0.6,19,205.51
24,20,0.6,19,205.50
24,20,0.6,19,180.23
24,20,0.6,19,252.32
24,20,0.6,19,266.11
24,20,0.6,19,227.98
24,20,0.6,19,162.21
24,20,0.6,19,281.54
24,20,0.6,19,191.60
24,20,0.6,19,270.35
24,20,0.6,19,181.13
24,20,0.6,19,201.52
24,20,0.6,19,288.93
24,20,0.6,19,324.42
24,20,0.6,19,115.41
24,20,0.6,19,267.95
24,20,0.6,19,383.20
24,20,0.6,19,274.53
24,20,0.6,19,279.81
24,20,0.6,19,191.60
24,20,0.6,19,198.26
24,20,0.6,19,490.30
24,20,0.6,19,183.80
24,20,0.6,19,166.18
24,20,0.6,19,290.63
24,20,0.6,19,198.26
24,20,0.6,19,115.41
24,20,0.6,19,219.28
24,20,0.6,19,378.95
24,20,0.6,19,229.40
24,20,0.6,19,216.27
24,20,0.6,19,127.46
24,20,0.6,19,569.97
24,20,0.6,19,396.94
24,20,0.6,19,199.08
24,20,0.6,19,162.22
24,20,0.6,19,140.78
24,20,0.6,19,314.76
24,20,0.6,19,315.30
24,20,0.6,19,532.55
24,20,0.6,19,166.18
24,20,0.6,19,140.77
24,20,0.6,19,217.03
24,20,0.6,19,180.23
24,20,0.6,19,155.05
24,20,0.6,19,222.93
24,20,0.6,19,305.88
24,20,0.6,19,250.39
24,20,0.6,19,234.31
24,20,0.6,19,559.89
24,20,0.6,19,284.99
24,20,0.6,19,396.94
24,20,0.6,19,422.31
24,20,0.6,19,378.48
24,20,0.6,19,380.22
24,20,0.6,19,161.21
24,20,0.6,19,234.32
24,20,0.6,19,205.50
24,20,0.6,19,378.52
24,20,0.6,19,217.03
24,20,0.6,19,210.19
24,20,0.6,19,180.23
