Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,20,0.5,17,241.95
23,20,0.5,17,263.97
23,20,0.5,17,263.09
23,20,0.5,17,346.62
23,20,0.5,17,211.94
23,20,0.5,17,235.79
23,20,0.5,17,230.21
23,20,0.5,17,380.84
23,20,0.5,17,335.85
23,20,0.5,17,233.94
23,20,0.5,17,402.32
23,20,0.5,17,336.15
23,20,0.5,17,307.65
23,20,0.5,17,262.57
23,20,0.5,17,306.22
23,20,0.5,17,294.56
23,20,0.5,17,168.42
23,20,0.5,17,202.11
23,20,0.5,17,259.64
23,20,0.5,17,199.45
23,20,0.5,17,827.39
23,20,0.5,17,8.17
23,20,0.5,17,206.84
23,20,0.5,17,321.22
23,20,0.5,17,343.62
23,20,0.5,17,255.37
23,20,0.5,17,315.67
23,20,0.5,17,163.60
23,20,0.5,17,269.73
23,20,0.5,17,224.33
23,20,0.5,17,266.74
23,20,0.5,17,277.77
23,20,0.5,17,355.93
23,20,0.5,17,165.43
23,20,0.5,17,227.14
23,20,0.5,17,233.95
23,20,0.5,17,215.69
23,20,0.5,17,215.69
23,20,0.5,17,192.29
23,20,0.5,17,211.95
23,20,0.5,17,233.94
23,20,0.5,17,296.04
23,20,0.5,17,241.93
23,20,0.5,17,214.44
23,20,0.5,17,261.57
23,20,0.5,17,334.97
23,20,0.5,17,302.39
23,20,0.5,17,227.58
23,20,0.5,17,321.23
23,20,0.5,17,261.56
23,20,0.5,17,330.46
23,20,0.5,17,138.89
23,20,0.5,17,150.64
23,20,0.5,17,248.88
23,20,0.5,17,312.70
23,20,0.5,17,253.39
23,20,0.5,17,325.36
23,20,0.5,17,378.03
23,20,0.5,17,455.90
23,20,0.5,17,469.67
23,20,0.5,17,311.09
23,20,0.5,17,347.38
23,20,0.5,17,297.05
23,20,0.5,17,231.36
23,20,0.5,17,223.14
23,20,0.5,17,283.60
23,20,0.5,17,299.96
23,20,0.5,17,222.99
23,20,0.5,17,173.31
23,20,0.5,17,288.73
23,20,0.5,17,200.95
23,20,0.5,17,204.74
23,20,0.5,17,260.66
23,20,0.5,17,172.34
23,20,0.5,17,223.14
23,20,0.5,17,361.14
23,20,0.5,17,263.72
23,20,0.5,17,292.85
23,20,0.5,17,284.54
23,20,0.5,17,517.03
23,20,0.5,17,387.53
23,20,0.5,17,302.28
23,20,0.5,17,286.88
23,20,0.5,17,165.43
23,20,0.5,17,285.95
23,20,0.5,17,190.03
23,20,0.5,17,196.41
23,20,0.5,17,251.67
23,20,0.5,17,291.61
23,20,0.5,17,249.94
23,20,0.5,17,343.52
23,20,0.5,17,271.58
23,20,0.5,17,341.18
23,20,0.5,17,416.58
23,20,0.5,17,349.02
23,20,0.5,17,214.91
23,20,0.5,17,277.29
23,20,0.5,17,219.98
23,20,0.5,17,163.40
23,20,0.5,17,397.90
23,20,0.5,17,179.36
23,20,0.5,17,387.53
23,20,0.5,17,265.99
23,20,0.5,17,233.66
23,20,0.5,17,439.20
23,20,0.5,17,333.37
23,20,0.5,17,319.57
23,20,0.5,17,358.91
