Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,21,0.7,17,396.27
23,21,0.7,17,319.18
23,21,0.7,17,434.03
23,21,0.7,17,385.48
23,21,0.7,17,77.64
23,21,0.7,17,390.13
23,21,0.7,17,417.37
23,21,0.7,17,351.52
23,21,0.7,17,542.35
23,21,0.7,17,418.10
23,21,0.7,17,236.13
23,21,0.7,17,296.66
23,21,0.7,17,197.94
23,21,0.7,17,214.74
23,21,0.7,17,148.34
23,21,0.7,17,241.82
23,21,0.7,17,228.35
23,21,0.7,17,211.21
23,21,0.7,17,236.14
23,21,0.7,17,143.16
23,21,0.7,17,319.18
23,21,0.7,17,351.53
23,21,0.7,17,354.10
23,21,0.7,17,357.90
23,21,0.7,17,193.45
23,21,0.7,17,210.45
23,21,0.7,17,119.98
23,21,0.7,17,195.72
23,21,0.7,17,179.19
23,21,0.7,17,269.50
23,21,0.7,17,239.95
23,21,0.7,17,223.21
23,21,0.7,17,188.23
23,21,0.7,17,274.39
23,21,0.7,17,283.13
23,21,0.7,17,297.62
23,21,0.7,17,267.86
23,21,0.7,17,235.28
23,21,0.7,17,223.71
23,21,0.7,17,252.97
23,21,0.7,17,235.28
23,21,0.7,17,580.35
23,21,0.7,17,313.92
23,21,0.7,17,256.89
23,21,0.7,17,256.89
23,21,0.7,17,491.07
23,21,0.7,17,252.97
23,21,0.7,17,283.13
23,21,0.7,17,372.32
23,21,0.7,17,404.26
23,21,0.7,17,327.72
23,21,0.7,17,210.45
23,21,0.7,17,283.13
23,21,0.7,17,254.73
23,21,0.7,17,287.40
23,21,0.7,17,408.61
23,21,0.7,17,296.49
23,21,0.7,17,198.54
23,21,0.7,17,511.39
23,21,0.7,17,245.42
23,21,0.7,17,198.54
23,21,0.7,17,198.54
23,21,0.7,17,273.58
23,21,0.7,17,188.23
23,21,0.7,17,207.27
23,21,0.7,17,277.99
23,21,0.7,17,238.10
23,21,0.7,17,221.22
23,21,0.7,17,312.85
23,21,0.7,17,153.20
23,21,0.7,17,286.24
23,21,0.7,17,287.40
23,21,0.7,17,301.31
23,21,0.7,17,339.66
23,21,0.7,17,235.28
23,21,0.7,17,273.58
23,21,0.7,17,297.99
23,21,0.7,17,395.39
23,21,0.7,17,353.71
23,21,0.7,17,282.34
23,21,0.7,17,296.49
23,21,0.7,17,345.16
23,21,0.7,17,376.75
23,21,0.7,17,379.39
23,21,0.7,17,334.39
23,21,0.7,17,346.10
23,21,0.7,17,386.03
23,21,0.7,17,284.29
23,21,0.7,17,189.40
23,21,0.7,17,339.32
23,21,0.7,17,379.37
23,21,0.7,17,242.24
23,21,0.7,17,342.57
23,21,0.7,17,301.31
23,21,0.7,17,315.32
23,21,0.7,17,467.03
23,21,0.7,17,276.79
23,21,0.7,17,263.26
23,21,0.7,17,326.69
23,21,0.7,17,388.03
