Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
25,21,0.5,21,283.35
25,21,0.5,21,353.53
25,21,0.5,21,300.45
25,21,0.5,21,369.16
25,21,0.5,21,370.91
25,21,0.5,21,349.23
25,21,0.5,21,409.31
25,21,0.5,21,325.41
25,21,0.5,21,300.45
25,21,0.5,21,318.68
25,21,0.5,21,445.83
25,21,0.5,21,346.71
25,21,0.5,21,417.18
25,21,0.5,21,208.33
25,21,0.5,21,294.61
25,21,0.5,21,356.00
25,21,0.5,21,458.81
25,21,0.5,21,237.53
25,21,0.5,21,307.59
25,21,0.5,21,261.02
25,21,0.5,21,261.02
25,21,0.5,21,312.48
25,21,0.5,21,298.28
25,21,0.5,21,309.70
25,21,0.5,21,326.07
25,21,0.5,21,300.46
25,21,0.5,21,382.42
25,21,0.5,21,383.00
25,21,0.5,21,273.99
25,21,0.5,21,339.12
25,21,0.5,21,230.09
25,21,0.5,21,242.94
25,21,0.5,21,289.42
25,21,0.5,21,289.41
25,21,0.5,21,318.66
25,21,0.5,21,242.95
25,21,0.5,21,375.57
25,21,0.5,21,254.30
25,21,0.5,21,363.81
25,21,0.5,21,254.30
25,21,0.5,21,265.16
25,21,0.5,21,221.45
25,21,0.5,21,214.47
25,21,0.5,21,224.39
25,21,0.5,21,387.51
25,21,0.5,21,358.41
25,21,0.5,21,250.87
25,21,0.5,21,265.16
25,21,0.5,21,176.77
25,21,0.5,21,251.73
25,21,0.5,21,250.00
25,21,0.5,21,354.17
25,21,0.5,21,162.70
25,21,0.5,21,421.83
25,21,0.5,21,283.35
25,21,0.5,21,296.09
25,21,0.5,21,196.54
25,21,0.5,21,225.34
25,21,0.5,21,179.21
25,21,0.5,21,359.63
25,21,0.5,21,364.43
25,21,0.5,21,354.78
25,21,0.5,21,280.27
25,21,0.5,21,421.84
25,21,0.5,21,296.08
25,21,0.5,21,380.17
25,21,0.5,21,447.27
25,21,0.5,21,179.21
25,21,0.5,21,533.96
25,21,0.5,21,192.06
25,21,0.5,21,270.83
25,21,0.5,21,324.08
25,21,0.5,21,230.11
25,21,0.5,21,326.07
25,21,0.5,21,312.48
25,21,0.5,21,229.14
25,21,0.5,21,375.58
25,21,0.5,21,232.90
25,21,0.5,21,162.70
25,21,0.5,21,300.46
25,21,0.5,21,230.11
25,21,0.5,21,396.38
25,21,0.5,21,235.69
25,21,0.5,21,294.61
25,21,0.5,21,527.00
25,21,0.5,21,346.72
25,21,0.5,21,232.90
25,21,0.5,21,237.52
25,21,0.5,21,375.54
25,21,0.5,21,309.70
25,21,0.5,21,421.81
25,21,0.5,21,353.53
25,21,0.5,21,395.80
25,21,0.5,21,329.39
25,21,0.5,21,429.47
25,21,0.5,21,372.67
25,21,0.5,21,339.12
