Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
25,21,0.4,18,256.48
25,21,0.4,18,296.90
25,21,0.4,18,280.48
25,21,0.4,18,442.68
25,21,0.4,18,419.89
25,21,0.4,18,209.94
25,21,0.4,18,260.41
25,21,0.4,18,260.41
25,21,0.4,18,247.05
25,21,0.4,18,370.11
25,21,0.4,18,140.23
25,21,0.4,18,362.68
25,21,0.4,18,387.09
25,21,0.4,18,313.57
25,21,0.4,18,296.92
25,21,0.4,18,354.20
25,21,0.4,18,384.49
25,21,0.4,18,379.17
25,21,0.4,18,268.09
25,21,0.4,18,368.26
25,21,0.4,18,443.47
25,21,0.4,18,372.85
25,21,0.4,18,347.43
25,21,0.4,18,271.85
25,21,0.4,18,256.46
25,21,0.4,18,291.12
25,21,0.4,18,240.07
25,21,0.4,18,316.78
25,21,0.4,18,478.04
25,21,0.4,18,260.39
25,21,0.4,18,431.03
25,21,0.4,18,349.35
25,21,0.4,18,331.44
25,21,0.4,18,406.76
25,21,0.4,18,256.48
25,21,0.4,18,338.51
25,21,0.4,18,209.95
25,21,0.4,18,198.33
25,21,0.4,18,314.66
25,21,0.4,18,339.53
25,21,0.4,18,209.95
25,21,0.4,18,303.68
25,21,0.4,18,245.67
25,21,0.4,18,140.23
25,21,0.4,18,339.53
25,21,0.4,18,303.68
25,21,0.4,18,338.54
25,21,0.4,18,333.48
25,21,0.4,18,182.27
25,21,0.4,18,260.41
25,21,0.4,18,326.29
25,21,0.4,18,354.20
25,21,0.4,18,220.96
25,21,0.4,18,397.50
25,21,0.4,18,260.41
25,21,0.4,18,294.62
25,21,0.4,18,189.58
25,21,0.4,18,260.39
25,21,0.4,18,417.48
25,21,0.4,18,189.58
25,21,0.4,18,291.15
25,21,0.4,18,354.20
25,21,0.4,18,151.84
25,21,0.4,18,375.57
25,21,0.4,18,235.82
25,21,0.4,18,220.96
25,21,0.4,18,294.62
25,21,0.4,18,375.57
25,21,0.4,18,232.91
25,21,0.4,18,265.54
25,21,0.4,18,260.41
25,21,0.4,18,198.33
25,21,0.4,18,260.39
25,21,0.4,18,362.71
25,21,0.4,18,260.39
25,21,0.4,18,271.88
25,21,0.4,18,379.17
25,21,0.4,18,260.39
25,21,0.4,18,256.48
25,21,0.4,18,314.66
25,21,0.4,18,354.19
25,21,0.4,18,240.07
25,21,0.4,18,260.41
25,21,0.4,18,260.39
25,21,0.4,18,333.48
25,21,0.4,18,286.42
25,21,0.4,18,349.37
25,21,0.4,18,361.78
25,21,0.4,18,433.41
25,21,0.4,18,365.47
25,21,0.4,18,342.53
25,21,0.4,18,174.68
25,21,0.4,18,209.94
25,21,0.4,18,296.89
25,21,0.4,18,362.68
25,21,0.4,18,291.15
25,21,0.4,18,338.54
25,21,0.4,18,423.88
25,21,0.4,18,349.37
25,21,0.4,18,296.89
25,21,0.4,18,151.84
