Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,22,0.3,19,220.64
23,22,0.3,19,148.85
23,22,0.3,19,148.03
23,22,0.3,19,183.38
23,22,0.3,19,188.61
23,22,0.3,19,233.87
23,22,0.3,19,206.28
23,22,0.3,19,224.73
23,22,0.3,19,222.83
23,22,0.3,19,274.03
23,22,0.3,19,184.71
23,22,0.3,19,132.45
23,22,0.3,19,253.66
23,22,0.3,19,293.71
23,22,0.3,19,210.51
23,22,0.3,19,155.24
23,22,0.3,19,142.18
23,22,0.3,19,181.72
23,22,0.3,19,230.74
23,22,0.3,19,244.03
23,22,0.3,19,149.87
23,22,0.3,19,196.64
23,22,0.3,19,218.30
23,22,0.3,19,218.29
23,22,0.3,19,224.87
23,22,0.3,19,175.08
23,22,0.3,19,268.09
23,22,0.3,19,285.85
23,22,0.3,19,7.79
23,22,0.3,19,93.50
23,22,0.3,19,209.79
23,22,0.3,19,287.43
23,22,0.3,19,188.45
23,22,0.3,19,308.52
23,22,0.3,19,176.64
23,22,0.3,19,195.40
23,22,0.3,19,185.20
23,22,0.3,19,267.76
23,22,0.3,19,244.65
23,22,0.3,19,218.16
23,22,0.3,19,155.83
23,22,0.3,19,147.83
23,22,0.3,19,296.17
23,22,0.3,19,257.00
23,22,0.3,19,217.32
23,22,0.3,19,165.28
23,22,0.3,19,136.07
23,22,0.3,19,198.64
23,22,0.3,19,151.28
23,22,0.3,19,138.72
23,22,0.3,19,218.30
23,22,0.3,19,143.03
23,22,0.3,19,140.25
23,22,0.3,19,258.17
23,22,0.3,19,272.69
23,22,0.3,19,162.68
23,22,0.3,19,199.10
23,22,0.3,19,104.53
23,22,0.3,19,136.07
23,22,0.3,19,188.28
23,22,0.3,19,148.85
23,22,0.3,19,171.41
23,22,0.3,19,137.84
23,22,0.3,19,133.37
23,22,0.3,19,274.47
23,22,0.3,19,250.89
23,22,0.3,19,186.99
23,22,0.3,19,225.95
23,22,0.3,19,177.84
23,22,0.3,19,143.66
23,22,0.3,19,109.08
23,22,0.3,19,224.73
23,22,0.3,19,177.67
23,22,0.3,19,218.71
23,22,0.3,19,249.81
23,22,0.3,19,129.67
23,22,0.3,19,413.23
23,22,0.3,19,156.60
23,22,0.3,19,259.00
23,22,0.3,19,242.04
23,22,0.3,19,223.10
23,22,0.3,19,308.72
23,22,0.3,19,289.23
23,22,0.3,19,247.98
23,22,0.3,19,199.09
23,22,0.3,19,188.45
23,22,0.3,19,93.82
23,22,0.3,19,126.83
23,22,0.3,19,156.60
23,22,0.3,19,160.62
23,22,0.3,19,171.41
23,22,0.3,19,275.47
23,22,0.3,19,246.38
23,22,0.3,19,202.57
23,22,0.3,19,172.12
23,22,0.3,19,199.10
23,22,0.3,19,141.11
23,22,0.3,19,227.55
23,22,0.3,19,54.54
23,22,0.3,19,203.18
