Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
22,22,0.6,17,609.42
22,22,0.6,17,281.04
22,22,0.6,17,314.66
22,22,0.6,17,496.95
22,22,0.6,17,242.15
22,22,0.6,17,443.09
22,22,0.6,17,460.66
22,22,0.6,17,463.48
22,22,0.6,17,463.82
22,22,0.6,17,483.43
22,22,0.6,17,370.34
22,22,0.6,17,278.97
22,22,0.6,17,271.13
22,22,0.6,17,412.66
22,22,0.6,17,420.69
22,22,0.6,17,333.09
22,22,0.6,17,505.33
22,22,0.6,17,518.57
22,22,0.6,17,428.59
22,22,0.6,17,401.19
22,22,0.6,17,581.28
22,22,0.6,17,400.44
22,22,0.6,17,365.10
22,22,0.6,17,333.68
22,22,0.6,17,363.41
22,22,0.6,17,137.12
22,22,0.6,17,273.39
22,22,0.6,17,307.22
22,22,0.6,17,319.16
22,22,0.6,17,370.44
22,22,0.6,17,335.98
22,22,0.6,17,393.04
22,22,0.6,17,464.82
22,22,0.6,17,189.48
22,22,0.6,17,491.65
22,22,0.6,17,308.72
22,22,0.6,17,330.42
22,22,0.6,17,297.93
22,22,0.6,17,248.59
22,22,0.6,17,308.73
22,22,0.6,17,299.61
22,22,0.6,17,254.72
22,22,0.6,17,200.55
22,22,0.6,17,403.79
22,22,0.6,17,334.25
22,22,0.6,17,225.68
22,22,0.6,17,168.84
22,22,0.6,17,298.96
22,22,0.6,17,318.07
22,22,0.6,17,204.92
22,22,0.6,17,422.81
22,22,0.6,17,254.72
22,22,0.6,17,294.41
22,22,0.6,17,284.31
22,22,0.6,17,616.02
22,22,0.6,17,316.48
22,22,0.6,17,234.22
22,22,0.6,17,255.91
22,22,0.6,17,210.67
22,22,0.6,17,336.44
22,22,0.6,17,348.14
22,22,0.6,17,217.33
22,22,0.6,17,228.90
22,22,0.6,17,341.89
22,22,0.6,17,386.34
22,22,0.6,17,277.58
22,22,0.6,17,388.62
22,22,0.6,17,236.35
22,22,0.6,17,283.07
22,22,0.6,17,281.03
22,22,0.6,17,175.55
22,22,0.6,17,229.74
22,22,0.6,17,564.33
22,22,0.6,17,388.02
22,22,0.6,17,447.77
22,22,0.6,17,256.37
22,22,0.6,17,540.83
22,22,0.6,17,500.35
22,22,0.6,17,341.44
22,22,0.6,17,506.47
22,22,0.6,17,241.51
22,22,0.6,17,304.71
22,22,0.6,17,360.85
22,22,0.6,17,255.16
22,22,0.6,17,149.23
22,22,0.6,17,281.03
22,22,0.6,17,295.07
22,22,0.6,17,391.48
22,22,0.6,17,408.34
22,22,0.6,17,304.33
22,22,0.6,17,372.42
22,22,0.6,17,416.28
22,22,0.6,17,258.32
22,22,0.6,17,380.30
22,22,0.6,17,273.38
22,22,0.6,17,539.53
22,22,0.6,17,427.14
22,22,0.6,17,530.55
22,22,0.6,17,236.36
22,22,0.6,17,522.11
22,22,0.6,17,438.90
22,22,0.6,17,316.12
22,22,0.6,17,420.34
22,22,0.6,17,131.96
