Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
25,22,0.6,17,212.25
25,22,0.6,17,215.67
25,22,0.6,17,191.64
25,22,0.6,17,256.46
25,22,0.6,17,359.19
25,22,0.6,17,308.44
25,22,0.6,17,402.18
25,22,0.6,17,308.44
25,22,0.6,17,391.04
25,22,0.6,17,217.61
25,22,0.6,17,270.83
25,22,0.6,17,181.49
25,22,0.6,17,165.73
25,22,0.6,17,225.22
25,22,0.6,17,247.91
25,22,0.6,17,207.72
25,22,0.6,17,261.54
25,22,0.6,17,243.84
25,22,0.6,17,188.84
25,22,0.6,17,200.24
25,22,0.6,17,183.70
25,22,0.6,17,297.55
25,22,0.6,17,200.89
25,22,0.6,17,333.26
25,22,0.6,17,231.64
25,22,0.6,17,162.87
25,22,0.6,17,173.47
25,22,0.6,17,197.62
25,22,0.6,17,263.78
25,22,0.6,17,142.05
25,22,0.6,17,297.41
25,22,0.6,17,284.24
25,22,0.6,17,237.76
25,22,0.6,17,208.54
25,22,0.6,17,205.38
25,22,0.6,17,205.38
25,22,0.6,17,284.10
25,22,0.6,17,192.26
25,22,0.6,17,171.45
25,22,0.6,17,180.11
25,22,0.6,17,271.58
25,22,0.6,17,229.39
25,22,0.6,17,259.12
25,22,0.6,17,263.94
25,22,0.6,17,280.55
25,22,0.6,17,150.38
25,22,0.6,17,201.75
25,22,0.6,17,215.31
25,22,0.6,17,194.73
25,22,0.6,17,171.96
25,22,0.6,17,139.89
25,22,0.6,17,265.26
25,22,0.6,17,192.26
25,22,0.6,17,201.32
25,22,0.6,17,177.44
25,22,0.6,17,186.76
25,22,0.6,17,209.58
25,22,0.6,17,276.18
25,22,0.6,17,223.83
25,22,0.6,17,305.49
25,22,0.6,17,190.22
25,22,0.6,17,174.22
25,22,0.6,17,215.31
25,22,0.6,17,187.45
25,22,0.6,17,212.66
25,22,0.6,17,175.22
25,22,0.6,17,176.95
25,22,0.6,17,186.76
25,22,0.6,17,178.18
25,22,0.6,17,196.07
25,22,0.6,17,190.22
25,22,0.6,17,261.80
25,22,0.6,17,280.40
25,22,0.6,17,285.32
25,22,0.6,17,196.73
25,22,0.6,17,165.26
25,22,0.6,17,212.67
25,22,0.6,17,171.46
25,22,0.6,17,279.94
25,22,0.6,17,245.33
25,22,0.6,17,185.82
25,22,0.6,17,274.44
25,22,0.6,17,181.08
25,22,0.6,17,214.50
25,22,0.6,17,214.70
25,22,0.6,17,318.32
25,22,0.6,17,285.47
25,22,0.6,17,112.68
25,22,0.6,17,208.53
25,22,0.6,17,204.75
25,22,0.6,17,237.76
25,22,0.6,17,213.07
25,22,0.6,17,237.77
25,22,0.6,17,292.69
25,22,0.6,17,209.58
25,22,0.6,17,308.88
25,22,0.6,17,237.40
25,22,0.6,17,300.75
25,22,0.6,17,227.67
25,22,0.6,17,254.55
25,22,0.6,17,201.75
25,22,0.6,17,227.10
