Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,22,0.6,20,163.61
23,22,0.6,20,238.50
23,22,0.6,20,129.34
23,22,0.6,20,172.56
23,22,0.6,20,163.61
23,22,0.6,20,294.95
23,22,0.6,20,208.56
23,22,0.6,20,480.16
23,22,0.6,20,312.59
23,22,0.6,20,237.81
23,22,0.6,20,302.79
23,22,0.6,20,337.30
23,22,0.6,20,703.74
23,22,0.6,20,261.91
23,22,0.6,20,279.22
23,22,0.6,20,564.70
23,22,0.6,20,364.48
23,22,0.6,20,226.26
23,22,0.6,20,306.64
23,22,0.6,20,327.22
23,22,0.6,20,271.94
23,22,0.6,20,131.91
23,22,0.6,20,387.61
23,22,0.6,20,360.31
23,22,0.6,20,283.98
23,22,0.6,20,214.11
23,22,0.6,20,474.54
23,22,0.6,20,237.81
23,22,0.6,20,387.61
23,22,0.6,20,533.32
23,22,0.6,20,278.62
23,22,0.6,20,1254.75
23,22,0.6,20,355.18
23,22,0.6,20,335.80
23,22,0.6,20,467.44
23,22,0.6,20,246.09
23,22,0.6,20,401.60
23,22,0.6,20,406.16
23,22,0.6,20,310.97
23,22,0.6,20,454.36
23,22,0.6,20,349.46
23,22,0.6,20,439.77
23,22,0.6,20,545.70
23,22,0.6,20,401.18
23,22,0.6,20,319.99
23,22,0.6,20,411.08
23,22,0.6,20,254.78
23,22,0.6,20,312.59
23,22,0.6,20,254.78
23,22,0.6,20,490.84
23,22,0.6,20,240.61
23,22,0.6,20,336.30
23,22,0.6,20,295.52
23,22,0.6,20,370.40
23,22,0.6,20,319.47
23,22,0.6,20,409.03
23,22,0.6,20,186.55
23,22,0.6,20,404.93
23,22,0.6,20,417.13
23,22,0.6,20,409.03
23,22,0.6,20,559.65
23,22,0.6,20,384.58
23,22,0.6,20,406.17
23,22,0.6,20,470.27
23,22,0.6,20,348.01
23,22,0.6,20,427.02
23,22,0.6,20,367.65
23,22,0.6,20,424.27
23,22,0.6,20,366.28
23,22,0.6,20,133.16
23,22,0.6,20,517.35
23,22,0.6,20,545.68
23,22,0.6,20,439.37
23,22,0.6,20,297.76
23,22,0.6,20,442.44
23,22,0.6,20,337.28
23,22,0.6,20,220.27
23,22,0.6,20,491.51
23,22,0.6,20,274.38
23,22,0.6,20,311.50
23,22,0.6,20,345.14
23,22,0.6,20,263.82
23,22,0.6,20,329.77
23,22,0.6,20,168.64
23,22,0.6,20,319.98
23,22,0.6,20,360.31
23,22,0.6,20,359.39
23,22,0.6,20,258.69
23,22,0.6,20,139.32
23,22,0.6,20,527.96
23,22,0.6,20,553.63
23,22,0.6,20,624.37
23,22,0.6,20,165.63
23,22,0.6,20,548.14
23,22,0.6,20,387.58
23,22,0.6,20,409.01
23,22,0.6,20,366.28
23,22,0.6,20,329.76
23,22,0.6,20,589.88
23,22,0.6,20,394.85
23,22,0.6,20,494.20
