Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
22,20,0.6,19,279.71
22,20,0.6,19,364.36
22,20,0.6,19,271.26
22,20,0.6,19,263.97
22,20,0.6,19,356.23
22,20,0.6,19,221.95
22,20,0.6,19,175.45
22,20,0.6,19,317.92
22,20,0.6,19,176.74
22,20,0.6,19,302.67
22,20,0.6,19,416.29
22,20,0.6,19,274.01
22,20,0.6,19,326.31
22,20,0.6,19,269.04
22,20,0.6,19,423.28
22,20,0.6,19,296.15
22,20,0.6,19,427.50
22,20,0.6,19,318.63
22,20,0.6,19,12.25
22,20,0.6,19,417.38
22,20,0.6,19,260.54
22,20,0.6,19,164.41
22,20,0.6,19,259.96
22,20,0.6,19,259.96
22,20,0.6,19,316.25
22,20,0.6,19,258.51
22,20,0.6,19,292.32
22,20,0.6,19,380.68
22,20,0.6,19,405.71
22,20,0.6,19,262.26
22,20,0.6,19,272.10
22,20,0.6,19,221.95
22,20,0.6,19,187.06
22,20,0.6,19,232.84
22,20,0.6,19,255.00
22,20,0.6,19,210.84
22,20,0.6,19,428.90
22,20,0.6,19,319.56
22,20,0.6,19,196.45
22,20,0.6,19,269.88
22,20,0.6,19,551.47
22,20,0.6,19,331.79
22,20,0.6,19,178.43
22,20,0.6,19,268.76
22,20,0.6,19,241.70
22,20,0.6,19,248.14
22,20,0.6,19,193.77
22,20,0.6,19,241.38
22,20,0.6,19,220.92
22,20,0.6,19,338.94
22,20,0.6,19,208.69
22,20,0.6,19,269.88
22,20,0.6,19,216.81
22,20,0.6,19,355.39
22,20,0.6,19,234.12
22,20,0.6,19,159.78
22,20,0.6,19,227.95
22,20,0.6,19,345.32
22,20,0.6,19,196.46
22,20,0.6,19,404.21
22,20,0.6,19,301.43
22,20,0.6,19,285.04
22,20,0.6,19,298.41
22,20,0.6,19,268.77
22,20,0.6,19,228.94
22,20,0.6,19,279.44
22,20,0.6,19,230.23
22,20,0.6,19,479.35
22,20,0.6,19,600.96
22,20,0.6,19,309.29
22,20,0.6,19,249.95
22,20,0.6,19,182.18
22,20,0.6,19,289.22
22,20,0.6,19,279.72
22,20,0.6,19,220.93
22,20,0.6,19,159.78
22,20,0.6,19,288.44
22,20,0.6,19,122.54
22,20,0.6,19,241.39
22,20,0.6,19,193.77
22,20,0.6,19,234.13
22,20,0.6,19,417.39
22,20,0.6,19,205.42
22,20,0.6,19,246.61
22,20,0.6,19,288.43
22,20,0.6,19,392.35
22,20,0.6,19,285.04
22,20,0.6,19,122.54
22,20,0.6,19,298.17
22,20,0.6,19,183.82
22,20,0.6,19,319.57
22,20,0.6,19,394.63
22,20,0.6,19,373.30
22,20,0.6,19,217.16
22,20,0.6,19,147.05
22,20,0.6,19,24.51
22,20,0.6,19,449.94
22,20,0.6,19,275.39
22,20,0.6,19,201.00
22,20,0.6,19,577.15
22,20,0.6,19,237.94
