Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
23,23,0.5,17,234.81
23,23,0.5,17,353.41
23,23,0.5,17,226.90
23,23,0.5,17,140.72
23,23,0.5,17,296.72
23,23,0.5,17,270.95
23,23,0.5,17,195.14
23,23,0.5,17,204.30
23,23,0.5,17,195.14
23,23,0.5,17,335.74
23,23,0.5,17,314.66
23,23,0.5,17,232.86
23,23,0.5,17,232.86
23,23,0.5,17,419.26
23,23,0.5,17,263.13
23,23,0.5,17,463.21
23,23,0.5,17,236.01
23,23,0.5,17,174.66
23,23,0.5,17,136.68
23,23,0.5,17,279.86
23,23,0.5,17,222.54
23,23,0.5,17,267.01
23,23,0.5,17,294.19
23,23,0.5,17,301.38
23,23,0.5,17,153.23
23,23,0.5,17,194.62
23,23,0.5,17,165.59
23,23,0.5,17,206.99
23,23,0.5,17,281.07
23,23,0.5,17,269.88
23,23,0.5,17,158.18
23,23,0.5,17,182.34
23,23,0.5,17,219.45
23,23,0.5,17,276.15
23,23,0.5,17,269.88
23,23,0.5,17,153.22
23,23,0.5,17,228.62
23,23,0.5,17,316.62
23,23,0.5,17,190.61
23,23,0.5,17,365.13
23,23,0.5,17,399.01
23,23,0.5,17,249.08
23,23,0.5,17,305.62
23,23,0.5,17,372.35
23,23,0.5,17,249.08
23,23,0.5,17,294.19
23,23,0.5,17,217.88
23,23,0.5,17,157.64
23,23,0.5,17,216.69
23,23,0.5,17,310.34
23,23,0.5,17,213.11
23,23,0.5,17,279.85
23,23,0.5,17,238.89
23,23,0.5,17,439.86
23,23,0.5,17,305.61
23,23,0.5,17,404.34
23,23,0.5,17,268.61
23,23,0.5,17,428.81
23,23,0.5,17,254.18
23,23,0.5,17,343.62
23,23,0.5,17,217.88
23,23,0.5,17,228.63
23,23,0.5,17,262.15
23,23,0.5,17,325.18
23,23,0.5,17,407.71
23,23,0.5,17,296.79
23,23,0.5,17,214.71
23,23,0.5,17,225.22
23,23,0.5,17,323.32
23,23,0.5,17,333.24
23,23,0.5,17,374.41
23,23,0.5,17,388.56
23,23,0.5,17,206.99
23,23,0.5,17,159.26
23,23,0.5,17,277.71
23,23,0.5,17,288.30
23,23,0.5,17,248.39
23,23,0.5,17,288.01
23,23,0.5,17,303.65
23,23,0.5,17,341.38
23,23,0.5,17,298.52
23,23,0.5,17,251.81
23,23,0.5,17,305.33
23,23,0.5,17,157.64
23,23,0.5,17,213.10
23,23,0.5,17,288.29
23,23,0.5,17,360.18
23,23,0.5,17,385.01
23,23,0.5,17,296.80
23,23,0.5,17,398.15
23,23,0.5,17,351.26
23,23,0.5,17,381.66
23,23,0.5,17,344.38
23,23,0.5,17,249.07
23,23,0.5,17,302.22
23,23,0.5,17,222.54
23,23,0.5,17,267.01
23,23,0.5,17,236.01
23,23,0.5,17,349.32
23,23,0.5,17,380.54
