Concentration,Voltage,Injection Rate,Receiving Distance,Fiber Diameter
24,24,0.5,19,327.16
24,24,0.5,19,220.74
24,24,0.5,19,608.82
24,24,0.5,19,188.14
24,24,0.5,19,273.79
24,24,0.5,19,164.52
24,24,0.5,19,383.40
24,24,0.5,19,204.06
24,24,0.5,19,438.17
24,24,0.5,19,266.06
24,24,0.5,19,245.75
24,24,0.5,19,273.79
24,24,0.5,19,284.24
24,24,0.5,19,284.24
24,24,0.5,19,252.41
24,24,0.5,19,249.09
24,24,0.5,19,249.09
24,24,0.5,19,245.73
24,24,0.5,19,588.62
24,24,0.5,19,408.64
24,24,0.5,19,465.79
24,24,0.5,19,329.08
24,24,0.5,19,405.07
24,24,0.5,19,286.44
24,24,0.5,19,428.53
24,24,0.5,19,1040.57
24,24,0.5,19,356.99
24,24,0.5,19,316.81
24,24,0.5,19,202.02
24,24,0.5,19,316.82
24,24,0.5,19,666.29
24,24,0.5,19,372.41
24,24,0.5,19,339.63
24,24,0.5,19,288.60
24,24,0.5,19,232.68
24,24,0.5,19,159.38
24,24,0.5,19,286.44
24,24,0.5,19,268.42
24,24,0.5,19,591.81
24,24,0.5,19,554.36
24,24,0.5,19,388.25
24,24,0.5,19,266.09
24,24,0.5,19,389.89
24,24,0.5,19,336.58
24,24,0.5,19,192.52
24,24,0.5,19,531.01
24,24,0.5,19,208.11
24,24,0.5,19,283.52
24,24,0.5,19,339.65
24,24,0.5,19,473.37
24,24,0.5,19,292.17
24,24,0.5,19,367.89
24,24,0.5,19,329.70
24,24,0.5,19,284.24
24,24,0.5,19,266.09
24,24,0.5,19,238.85
24,24,0.5,19,367.87
24,24,0.5,19,266.07
24,24,0.5,19,230.88
24,24,0.5,19,297.14
24,24,0.5,19,342.11
24,24,0.5,19,401.96
24,24,0.5,19,322.68
24,24,0.5,19,303.39
24,24,0.5,19,319.42
24,24,0.5,19,361.04
24,24,0.5,19,400.92
24,24,0.5,19,346.93
24,24,0.5,19,213.06
24,24,0.5,19,664.38
24,24,0.5,19,294.32
24,24,0.5,19,447.56
24,24,0.5,19,220.73
24,24,0.5,19,536.81
24,24,0.5,19,255.71
24,24,0.5,19,245.75
24,24,0.5,19,453.12
24,24,0.5,19,571.76
24,24,0.5,19,648.25
24,24,0.5,19,708.43
24,24,0.5,19,288.60
24,24,0.5,19,303.38
24,24,0.5,19,318.77
24,24,0.5,19,322.67
24,24,0.5,19,319.42
24,24,0.5,19,346.93
24,24,0.5,19,288.61
24,24,0.5,19,228.17
24,24,0.5,19,322.67
24,24,0.5,19,311.50
24,24,0.5,19,1545.19
24,24,0.5,19,230.88
24,24,0.5,19,248.28
24,24,0.5,19,310.85
24,24,0.5,19,385.03
24,24,0.5,19,312.18
24,24,0.5,19,245.75
24,24,0.5,19,367.87
24,24,0.5,19,290.04
24,24,0.5,19,408.67
